club_name,urls
,
"Central Pennsylvania Rock and Mineral Club, Inc.",http://www.rockandmineral.org/
"Che-Hanna Rock and Mineral Club, Inc.",http://www.chehannarocks.com/
Delaware Valley Paleontological Society,https://sites.google.com/site/dvpspaleo/
Friends of Mineralogy - Pennsylvania Chapter,http://www.rasloto.com/FM/
Gem City Rock and Mineral Society,http://www.gemcityrockclub.org/
Leidy Microscopical Society,http://leidymicroscopical.com/
"Mason-Dixon Rock, Mineral, Gemological, & Lapidary Club",http://topgemz.com/
Mineralogical Society of Northeastern Pennsylvania,http://msnepa.org/
Monongahela Rockhounds,http://www.monongahelarockhounds.org/
Monroe County Earth Science Association,http://www.mdsysconsulting.com/MCESA/
Moraine Rockbusters,http://www.morainerockbusters.org/
Nittany Mineralogical Society,http://www.nittanymineral.org/
Pennsylvania Earth Sciences Association,http://www.mineralfest.com/
Philadelphia Mineralogical Society,http://www.phillyrocks.org/
Pittsburgh Geological Society,http://www.pittsburghgeologicalsociety.org/index.html
Tuscarora Lapidary Society,http://www.lapidary.org/
,
"Rhode Island Mineral Hunters, Inc.",http://rimh.us/
,
Aiken Gem and Mineral Society,http://www.aikengmfs.org/
Columbia Gem & Mineral Society,http://www.cgams.org/
Lowcountry Gem and Mineral Society,http://lowcountrygemandmineralsociety.org/
Pendleton District Gem and Mineral Society,http://www.woodsmere.com/pdgms/
Western South Carolina Gem and Mineral Society,http://www.wescagem.org/
,
Sioux Empire Gem and Mineral Society,http://www.segams.org/
Western Dakota Gem & Mineral Society,http://www.wdgms.org/
,
Knoxville Gem & Mineral Society,http://www.knoxrocks.org/
Memphis Archaeological & Geological Society,http://www.memphisgeology.org/
Middle Tennessee Rockhounds,http://www.rockhound.org/
Mid-Tennessee Gem and Mineral Society,http://www.mtgms.org/
,
Arlington Gem and Mineral Club,http://www.agemclub.org/
Austin Gem and Mineral Society,http://www.austingemandmineral.org/index.html
Central Texas Gem & Mineral Society,http://rockclub.txol.net/
Chihuahuan Desert Gem and Mineral Club,http://www.cdgmc.org/
Clear Lake Gem and Mineral Society,http://www.clgms.org/
"Cowtown Gem, Mineral & Glass Society",http://cera-fw.org/gem-mineral-glass/
Dallas Gem and Mineral Society,http://www.dallasgemandmineral.org/
Dallas Paleontological Society,https://dps.wildapricot.org/
East Texas Gem and Mineral Society,http://www.etgms.com/
"El Paso Mineral and Gem Society, Inc.",http://www.epmgs.com/
Fort Worth Gem and Mineral Club,http://www.fortworthgemandmineralclub.org/
Fredericksburg Rockhounds,http://fredericksburgrockhounds.org/
Geological Society of San Antonio,http://www.geosa.org/
"Golden Spread Gem, Mineral and Treasure Society",http://www.amarillotreasure.com/
Gulf Coast Gem & Mineral Society,http://www.gcgms.org/
Houston Gem and Mineral Society,http://www.hgms.org/
Lubbock Gem and Mineral Society,http://www.lubbockgemandmineral.org/
"Midland Gem and Mineral Society, Inc.",https://www.facebook.com/midlandgemandmineral/
Oak Cliff Gem and Mineral Society,http://www.ocgemandmineral.com/
Paleontological Society of Austin,http://www.austinpaleo.org/
Pine Country Gem & Mineral Society,http://www.pinecountry-gms.org/
Piney Woods Gem & Mineral Society,http://www.pwgms.org/
Pleasant Oaks Gem & Mineral Club,http://www.pogmc.org/
"Rollin' Rock Club, Inc.",https://sites.google.com/site/rollinrockclub/
South Texas Geological Society,http://www.stgs.org/
Southwest Gem and Mineral Society,http://www.swgemandmineral.org/
Texas Faceters Guild,http://texasfacetersguild.org/
"Tri-City Gem and Mineral Society, Inc.",https://www.facebook.com/midlandgemandmineral/
Waco Gem and Mineral Club,http://www.wacogemandmineral.org/
Williamson County Gem and Mineral Society,http://www.wcgms.org/
"Wise County Fossil, Rock and Mineral Society",http://wisecofossilrockandmineralsoc.weebly.com/
,
Beehive Rock and Gem Club,http://www.beehiverockandgem.com/
Cache Rock and Gem Club,http://cacherockgemclub.weebly.com/
Golden Spike Gem & Mineral Society,http://goldenspikegem.org/
